再生順,曲名,表示名,ユーザーID,時間(秒),URL,ソース
176,KYOSUKE HIMURO -KISS ME-,さえまに,saensmania50086,215.0,https://www.youtube.com/watch?v=OMyAZh_BT4s,リプ
177,The Black Keys - Lo/Hi [Official Audio],イキアン,funkmer_,183.0,https://www.youtube.com/watch?v=JILfwu5AWIQ,リプ
178,シニカルナイトプラン☆ / めぐる,原發ベモ-Gempatsu Bemo-,Kaihatsuayamare,202.0,https://www.nicovideo.jp/watch/sm38630366,リプ
179,くるり - In Your Life,匿名,DM,241.0,https://www.youtube.com/watch?v=Ydysm0dJI0A,DM
180,【コメント付き】Yahoo!ニュースのコメント欄テーマソング/ヘイトキン&鎖国キン【Hikakin_mania】,ヒカマに,Jicama_mania,300.0,https://www.youtube.com/watch?v=Puvc6k4t1Tc,リプ
181,ナユタン星人 - エイリアンエイリアン (ft.初音ミク) OFFICIAL MUSIC VIDEO,ん。まに,NNN_45_45,182.0,https://www.youtube.com/watch?v=2t1NMRse6aI,リプ
182,星野源 – SUN (Official Video),まーぼー,Mabo__odaM,282.0,https://www.youtube.com/watch?v=7gcCRAl58u4,リプ
183,MONTAGEM GENPATSU,陰謀論_mania,MJzWM89LQA98608,124.0,https://www.youtube.com/watch?v=SQejsYdx7pg,リプ
184,iphoneバリバリ三人衆,モノクマニア,MonokumakinTV,75,https://www.youtube.com/watch?v=tP-AZVWZ0iI,リプ
185,ライトダンス,ネオ_mania,NeoZion_mania,212.0,https://www.youtube.com/watch?v=P93HaHCScjM,リプ
186,僕たちはアルカイダ (NDW Mix),下馬,3kKGF1EZnm519,67.0,https://www.youtube.com/watch?v=GbG-aR3zzn4,リプ
187,OMORI OST - 116 Underwater Prom Queens,ペングーの問題@数学好き,np_jns,127.0,https://www.youtube.com/watch?v=7xl5kRE19y4,リプ
188,"命ばっかり / Flower･結月ゆかり : It's Just Life / nulut,avogado6",匿名,DM,252.0,https://www.youtube.com/watch?v=YDnZFwlZa1g,DM
189,名前を呼ぶよ～中島 敦ver.～,中折れ熱島,Hanchinko_hanko,90.0,https://www.youtube.com/watch?v=uvxWnoS8FwI,リプ
190,オーイシマサヨシ - あとの祭り [Official Video],鶴_mania,_maniakm_tsuru,173.0,https://www.youtube.com/watch?v=1U_UbDfaV44,リプ
191,伏魔御廚子,ふたさんTV,Hutasun002,318.0,https://www.youtube.com/watch?v=F8BMxX4E440,リプ
192,SC-1903,どっかの誰かさん,TETRIS_Love47,288.0,https://www.youtube.com/watch?v=D1RXghv7ZO4,DM
193,パカッと参上！カラーマン.sang,一般サマナ民,maha_ya_na,174.0,https://www.youtube.com/watch?v=Udck878sGxg,リプ
194,mao zedong propaganda music Red Sun in the Sky,にゃんこ_mania,naniwo_mani,374.0,https://www.youtube.com/watch?v=OjNpRbNdR7E,リプ
195,[Melodic Dubstep] Katots - 天使になりたい,かとつ_mania,Katotzmaniac,297.0,https://www.youtube.com/watch?v=0d6I_cfBt7Y,リプ
196,TOTO Africa アフリカ　/　歌詞,どちぇんちょん！,jebe25fst,298.0,https://www.youtube.com/watch?v=NMYOlc4Fvx0,リプ
197,□けものなっちゃいそう,オルマー,Armadillo_Mania,63.0,https://www.nicovideo.jp/watch/sm46233566,リプ
198,Montagem Mysterious Game,アップル_𝒎𝒂𝒏𝒊𝒂,1919tigyu,103.0,https://www.youtube.com/watch?v=kCseeCxRSlg,リプ
199,lil鉄火巻 - MANPO 中イキ (チーム友達Remix),あさると,6XFjSjOREKXdbJG,149.0,https://www.youtube.com/watch?v=eEsTC1uSaG0,リプ
200,光 / ヒカキン & セイキン,RamenCop OGW,RamenCopOGW,267.0,https://www.youtube.com/watch?v=0sUcjz7H7oQ,リプ
201,CALL YOUR NAME!!,春川宙_mania,Antithese_00,257.0,https://www.youtube.com/watch?v=UmMwVwmTuIk,リプ
202,ファティマ,マキマニ,JJ_U_A8,246.0,https://www.youtube.com/watch?v=hgFPAJNuVhM,リプ
203,シャネルズ  / ランナウェイ,Rマー@もちしこは人類普遍のコンテンツ,hikamers_holy,189.0,https://www.youtube.com/watch?v=noBcbcg9rQk,リプ
204,@1n5TaqIKJM22025の動画ツイート,發バルサン,1n5TaqIKJM22025,54.3,https://x.com/i/status/2084640788865323009,リプ
205,Smiling Flower’s Season!,春川宙_mania,Antithese_00,180.0,https://www.youtube.com/watch?v=R3H12YJ3YR8,リプ
206,Michael Jackson - Smooth Criminal (Official Video - Shortened Version),課金マ,kkn_mania,251.0,https://www.youtube.com/watch?v=sFvENQBc-F8,リプ
207,【 みんなのリズム天国 】　キャナァーリ倶楽部 / やがて女はきれいになるだろう,ペルソナマニア,persona_mani,254.0,https://www.youtube.com/watch?v=F87qVNX-n5g,リプ
208,"米津精師 - おーならまたちつか！　Seishi Yonezu - Onara, Mata Tituka ！",チンコ,HB8V8gLUW88383,57.0,https://www.youtube.com/watch?v=nRSGTyEeEPk,リプ
209,PEOPLE 1 “GOLD” （Official Video）,豆乳@トリッカル,vrcl5,229.0,https://www.youtube.com/watch?v=Cnx03FzveUg,リプ
210,Jamiroquai - Canned Heat (Official Video),L7,M_O_M_E_N_T_U_M,234.0,https://www.youtube.com/watch?v=vE4VlA_9OrI,リプ
211,ONE OK ROCK - Deeper Deeper [Official Music Video],バース_mania,G5_N81,242.0,https://www.youtube.com/watch?v=tcBBNB5JTOQ,リプ
212,The Weeknd - São Paulo (Official Audio),ホリマに,Grokbot290614,302.0,https://www.youtube.com/watch?v=AQ5NlI-SJR0,リプ
213,【再現MAD】ヒ。ー ヒカキンの動画について ー【OP1】,やとマニら,ayn_ayo_ytr,90.0,https://www.youtube.com/watch?v=-sze3rRq1_k,DM
214,ノーナ・リーヴス - DJ! DJ! ～とどかぬ想い～ feat. YOU THE ROCK★【Music Video】,さむう,FYkmym,284.0,https://www.youtube.com/watch?v=GmeJCsYk1JQ,リプ
215,Diamond Yukai - You've Got a Friend in Me (From Toy Story),ひざ_mania,zamanihi_,128.0,https://www.youtube.com/watch?v=7Py_wd9Gi_Q,リプ
216,ヒカマニア,復活のサイマ煮,mania_saimani,117,https://www.youtube.com/watch?v=o_Qi2jaJZsg,DM
217,さまよえるバルドー,一般サマナ民,maha_ya_na,329.0,https://www.youtube.com/watch?v=8UvSfV0AWAg,リプ
218,ポルノグラフィティ『Mugen』MUSIC VIDEO,メラルバ_mania,Merlarva_mania,268.0,https://www.youtube.com/watch?v=vMEeSuCGYDk,リプ
219,中島健人「鬼事」Music Video【TVアニメ「逃げ上手の若君」第二期OPテーマ】,らおっさん,Shinebaiindesho,194.0,https://www.youtube.com/watch?v=wp_4AThBtCA,リプ
220,[MV] TAK - ニャニャニャチュニャ (NNNCN) feat. Kotoha,フォローするな_mania,DoNotFollowMani,157,https://www.youtube.com/watch?v=BgPBgTEvi08,リプ
221,【ジョジョMAD】ドラララえもんのうた（コメ付き）【HDあり】,－100万点_mania⚠️シャドウバン中なので低浮上,yftr3jg,78.0,https://www.youtube.com/watch?v=WE818jHKUc0,リプ
222,ぺこらと純デレラ【うんこちゃんMAD】,ハメツ_mania,HAMETU_mania,111.0,https://www.youtube.com/watch?v=8GtWeR8NBqg,リプ
223,オナズマイレブン(Hikakin_mania),匿名,DM,94.0,https://www.youtube.com/watch?v=3PnQA27sl3Y,DM
224,SABATON - Yamato (Official Music Video),Z3_Maniaのサブ,hikamarnokyouji,235,https://www.youtube.com/watch?v=Dfh1aSdxr9U,リプ
225,櫻坂46『Lonesome rabbit』 MUSIC VIDEO,あおまに（リアル）,lalikinmania,250.0,https://www.youtube.com/watch?v=4HfAH746QJo,リプ
226,rirugiliyangugili -  IKEN  (Official Video),【公式】ニコチンTV,HikamerdesuTv,120.0,https://www.youtube.com/watch?v=mEGoAgncYQY,リプ
227,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),胸板_mania(むなマニ),munaita_mania,211.0,https://www.youtube.com/watch?v=pRpeEdMmmQ0,リプ
228,Thriller,アンチマニア（現代の異能）,heiwamania,357,https://www.youtube.com/watch?v=sO4vI8P88NM,DM
229,Homo party?.avi,新垢まつなきや,matsunakiya2,103.0,https://www.nicovideo.jp/watch/sm18341863,リプ
230,[AI] DJアキラ 二曲目 単体,いつの_mania,itsunomani777,253.0,https://www.nicovideo.jp/watch/sm46481414,リプ
231,I'm 蒼 Happy,イケメン_mania,K41H475U,98.0,https://www.youtube.com/watch?v=SVZ6rFXbe2M,リプ
232,ヘイトキンヘイトキン【コメ無し】,主(1月20日まで語尾♡),Maguro_Love4545,98.0,https://www.youtube.com/watch?v=fiRzDKXwOYg,リプ
233,【Ado】エルフ,りりまに,ririneroi454545,262.0,https://www.youtube.com/watch?v=SbxR25brgoE,リプ
234,懺悔の詩 - パカソン,Gobou2rd,Gobou1145141919,72.0,https://www.youtube.com/watch?v=Ai5TPG3StFg,リプ
235,Sheep 〜Song of teenage love soldier〜,レバ刺し_mania,rawliver_mania,253.0,https://www.youtube.com/watch?v=NwLwH4DE66Y,リプ
236,唐澤心経 - 作者不詳,Gobou2rd,Gobou1145141919,62.0,https://www.youtube.com/watch?v=uqMOPIyD968,リプ
237,ご注文はまにあですか？？,栗のかたち研究会,Zvy2sGDJ7ABdoW4,91.0,https://www.nicovideo.jp/watch/sm39273844,リプ
238,OSTER project - PianoxFortexScandal ピアノ×フォルテ×スキャンダル feat. MEIKO (HQ Audio),ホリマに,Grokbot290614,233.0,https://www.youtube.com/watch?v=HXQY1VQWTX8,リプ
239,A7U,白かゆ,okayujr717,103.0,https://www.nicovideo.jp/watch/sm35589536,リプ
240,Dreamin' (From Last Gigs),さえまに,saensmania50086,339.0,https://www.youtube.com/watch?v=Vp8lhkK3yQo,リプ
241,Red Sun In The Sky - Mao Zedong - 天上太 1972,匿名,DM,105.0,https://www.youtube.com/watch?v=YnNwo5Gbybc,DM
242,まにあフレンズ　～ようこそヒカキンマニアへ～,オルマー,Armadillo_Mania,90.0,https://www.nicovideo.jp/watch/sm38300779,リプ
243,†千倉は館山　とんかつレイディオ†,深紺🔩🔢,hikamer_nos,111.0,https://www.youtube.com/watch?v=Rn_ASTntPqU,リプ
244,【音MAD】JRE-IKST-016 (hikakin_mania),Oyster_mania🦪,Oyster_mania,10.0,https://www.youtube.com/watch?v=2QLwnP7lf4M,リプ
245,架っさんまたやらかしてて今これ（hikamerkorosu動画）,デス牡蠣@ヒカマー,__________mania,16.6,https://x.com/i/status/2042679812339421184,リプ
246,ひのまるもこのくにもないんだ,からあげ,kr364364,180.0,https://www.youtube.com/watch?v=uywAaCIbNXg,リプ
247,還暦の巨根オヤジ『死ぬぅ！』80's anison,千ョ］乚一儿⭐️,chocorail_3,201.0,https://www.youtube.com/watch?v=vYT8ZGd10do,リプ
248,おっぱいは世界を救うのだ☆彡,大人向けmania,adultmanikun,282.0,https://www.youtube.com/watch?v=pVbyYRbzDes,リプ
249,烈車戦隊トッキュウジャー (cover),琉鈴院 イナバ,Reisen_Udon810,285.0,https://www.youtube.com/watch?v=ZRJhlIEivRU,リプ
250,2003 Hikakin far east,ねんどキラーひじき卵,hikamani0,78.0,https://www.youtube.com/watch?v=yj48o9wNZU0,リプ
251,海賊戦隊ゴーカイジャー,まら父,Maratiti08,231.0,https://www.youtube.com/watch?v=hWU4DpWJmNo,リプ
252,ロクデナシ「スピカ」,匿名,DM,165.0,https://www.youtube.com/watch?v=Ol1o3dgPIbI,DM
253,Zoku Owarimonogatari OP 07734 Full Reverse,ゆきお_mania,yukio_mania,221.0,https://www.youtube.com/watch?v=viwTSkbssVM,リプ
254,Reach Out To The Truth -First Battle-,タナトス_mania,TerrymeigenBOT,177.0,https://www.youtube.com/watch?v=11nM7lkCkhk,リプ
255,Aqua Timez『千の夜をこえて』Music Video（映画「劇場版BLEACH MEMORIES OF NOBODY」主題歌）,いつの_mania,itsunomani777,304.0,https://www.youtube.com/watch?v=sapgmOmPmFU,リプ
256,中川翔子『空色デイズ』music video,【公式】中学生_mania,JHS_mania810,259.0,https://www.youtube.com/watch?v=9US7wh4oOjE,リプ
257,幽霊渋谷(hikakin_mania),白猫鍋,siras2sei,132.0,https://www.youtube.com/watch?v=LBnZH5c467Q,リプ
258,ノウﾅｲディスコ,荒らし_mania 2nd,_ARS_1919,88.0,https://www.youtube.com/watch?v=6tGwaHwNK7I,リプ
259,【コメ付き】デデドン！（甲子園）,ベージュ,bei_ge70,61.0,https://www.youtube.com/watch?v=YdBo9NuDQOQ,DM
260,ゴールデンボンバー「女々しくて」MV,ロケット_mania(元火カマー),Flame_mania,275.0,https://www.youtube.com/watch?v=BC9P3DSZu0A,リプ
261,crying march,匿名,xsexsexxxxsexxx,202.0,https://www.youtube.com/watch?v=lzbWDrtSeeg,DM
262,Panic! At The Disco - High Hopes (Official Video),ブラジル代表_mania@ホリマニ応援隊,Brazil_mania,197.0,https://www.youtube.com/watch?v=IPXIgEAGe4U,リプ
263,Rick Astley - Never Knew Love (Official Video) [4K Remaster],ふにゃふにゃ帽子掛け,bousikake_mania,216.0,https://www.youtube.com/watch?v=ZVshSddRqAc,リプ
264,Vladimir Baragun - Siy Paq! (My Pug-Nosed One!),マンネルリズム,Nanachisabu,208.0,https://www.youtube.com/watch?v=5WQ4cZq8NL0,リプ
265,Won (*3*) Chu Kiss Me! / 喜多郁代(桜Trick OP カバー曲),匿名,DM,283.0,https://www.youtube.com/watch?v=mJ6WKiJAMf0,DM
266,海岸電車,ひでしね2010真実を追求,TEL0120114514,278.0,https://www.youtube.com/watch?v=aMf8bb5_FnI,リプ
267,金色のガッシュベル!!  OP  カサブタ AI 4K 中日字幕 (MAD·AMV) (回憶系列#112),信号機くん@ヒカマー,SIngouki_kun,196.0,https://www.youtube.com/watch?v=TEZ607s_1b4,リプ
268,ARASHI - サクラ咲ケ [Official Music Video],翔,shiroko_riding,265.0,https://www.youtube.com/watch?v=_WPTWbNkWrs,リプ
269,【ヒカキンリミックス】Hikakin from the far east (Electro EGG remix),十字架_mania,maebahesioru2,33.0,https://www.youtube.com/watch?v=NXQeTSVAs3s,リプ
270,白いボールのファンタジー,さくらぎ,sakulagisub,196.0,https://www.youtube.com/watch?v=HnN0kMYld4E,リプ
271,Fever,ア.ン.チ.ク.ラ.イ.ス.ト.マ.コ.ト.,g_a_right,237.0,https://www.youtube.com/watch?v=lIQjj944jw0,リプ
272,【Ado】Love me forever!（Official Audio）,中学生_mania名言bot,zmISzFXimS65963,249.0,https://www.youtube.com/watch?v=WSuAVkaSC38,リプ
273,ヒカマニしんちゃん,ドーパミン_mania,GaZ50v,70.0,https://www.nicovideo.jp/watch/sm43486141,リプ
274,"【K-SUB】 さくら、Reincarnation | さくら、もゆ。-as the Night's, Reincarnation- 1st OP | 佐咲紗花",クレイリア,Heavenlyweeds,298.0,https://www.youtube.com/watch?v=C-zz4UsWXb4,リプ
275,HORIZON (UBW Opening),じーぴーびー【ジャンヌオルタ朝霧スオウ推し】,gpbcdeee21584,242.0,https://www.youtube.com/watch?v=IQRygwKYQYo,リプ
276,サカナクション / ミュージック　-Music Video-,ろはまに,Rohan_Mania_w,342.0,https://www.youtube.com/watch?v=z2TNnnQbGJs,リプ
277,【オリジナル曲】「Dreamland」【ぼっとん#03】,大和キンTV_mania,Notfather_,154.0,https://www.youtube.com/watch?v=WRvOFZ_jQyc,リプ
278,森高千里 『渡良瀬橋』 (PV),相討里菜,sasuraisyogunda,232.0,https://www.youtube.com/watch?v=hYUrBTYuhAQ,リプ
279,"The Kid LAROI, Justin Bieber - STAY (Official Video)",竜田川📛,Montiti_mania,158.0,https://www.youtube.com/watch?v=kTJczUoc26U,リプ
280,フリージア　MUSIC VIDEO,さらーらっぷ。,daze321053,340.0,https://www.youtube.com/watch?v=Sqx2KT2hbOc,リプ
281,AIRMONLADY (SUPER FIRE PARNEST REMIX),白かゆ,okayujr717,196.0,https://www.nicovideo.jp/watch/sm32106338,リプ
282,PEOPLE 1 “鈴々” （Official Video）,豆乳@トリッカル,vrcl5,202.0,https://www.youtube.com/watch?v=7synqOiMORc,リプ
283,B1A4 - 이게 무슨 일이야 (What's Happening?),聖タプマニウス,seunghyun_mania,202.0,https://www.youtube.com/watch?v=oqxHy4G9FMI,リプ
284,今日もウララかケセラセラ！ (2021 Remastered Version),ハルウララ名言bot,HaruUraraDAMARE,247.0,https://www.youtube.com/watch?v=P_-XGKuxWRo,リプ
285,†ヒントはたこ焼き　ツボカツレイディオ†,Oyster_mania🦪,Oyster_mania,109.0,https://www.youtube.com/watch?v=N1YOT7MrKLM,リプ
286,【音mad】Detarune 夢seiと望ッ希の平原,今日のことわざ名言bot,kyoukotomania12,176.0,https://www.youtube.com/watch?v=nd3wBuKaVCA,リプ
287,"わがままで何が悪い！ / 重音テト・初音ミク - My Way, So What!",🥝こっちゃん_m@nia🥝,kocchann114514,162.0,https://www.youtube.com/watch?v=fyvfjx7MHLw,リプ
288,redo metrobo,匿名,DM,296.0,https://sp.nicovideo.jp/watch/sm1607051,DM
289,とげとげサディスティック (5人 Ver.),まるくん_mania（marukun_mania）,marukun19911226,227.0,https://www.youtube.com/watch?v=s3VLIcSH64A,リプ
290,自分を信じろキットカット（きっと勝つ）〜受験生応援Song〜,ふたさんTV,Hutasun002,295.0,https://www.youtube.com/watch?v=AhpA7swxghk,リプ
291,Loren&Mash - Thanatos - If I Can't Be Yours - English and Japanese subtitles 和訳,Vesta_mania@千歳提督,Admiral_Chitose,289.0,https://www.youtube.com/watch?v=zLq0nAlJ9MM,リプ
292,地震にご用心？,匿名,DM,89.0,https://www.youtube.com/watch?v=zwlXpoJJr_s,DM
293,Slam,ヴィンセント暇2,OIHeN_2_,338.0,https://www.youtube.com/watch?v=XW8LCWncbsg,DM
294,Blazing Heart (English Ver.),Hikakin_manila,hikakin_manila,178.0,https://www.youtube.com/watch?v=JCLf9ofO-V4,リプ
295,TK from 凛として時雨 『unravel』 Music Video(Full Size),しじょー_mania,shijo_mania,242.0,https://www.youtube.com/watch?v=Fve_lHIPa-I,リプ
296,ポルノグラフィティ『ヒトリノ夜』MUSIC VIDEO(アニメ『GTO』OPテーマ),メラルバ_mania,Merlarva_mania,261.0,https://www.youtube.com/watch?v=_rw6Vnyo8Sc,リプ
297,RAGE OF DUST,さらーらっぷ。,daze321053,201.0,https://www.youtube.com/watch?v=jiz-P61lrVk,リプ
298,うらわ高校はおしまい！,牙城オガかっさくテレビジョン,Htv_vfs,93.0,https://www.nicovideo.jp/watch/sm42311127,リプ
299,Voyaging Star's Farewell,キッチン_mania,kitigaimania,225.0,https://www.youtube.com/watch?v=0HrdRGuF2Y8,リプ
300,無条件 Full,富松,ACfIVz7FcC91964,215.0,https://www.youtube.com/watch?v=mCdUqlbId5U,リプ
301,【コメ付き】 Please kill my love,匿名,DM,244.0,https://www.youtube.com/watch?v=4qoxTcCiYCg,DM
302,２年前、ヒ◯キンと会った時の話【2019/05/02】,【公式】ニコチンTV,HikamerdesuTv,90.0,https://www.youtube.com/watch?v=Uhmaz58VMWk,リプ
303,Great Days,ペングーの問題@数学好き,np_jns,243.0,https://www.youtube.com/watch?v=UztXN2rKQNc,リプ
304,Little Dancer,目玉焼きマニア,x5diaf,203.0,https://www.youtube.com/watch?v=0eIfEHr0c7k,リプ
305,【公式】ザ・ハイロウズ「いかすぜOK」【18thシングル(2002/2/20)】THE HIGH-LOWS / Ikasuze OK,フォロ↘︎mania【公式】,ashi_ga_hachi,278.0,https://www.youtube.com/watch?v=a8Z9PufoeAw,リプ
306,Franz Ferdinand - Take Me Out (Video),ファボ無しRTの神_mania,no_faboRT,240.0,https://www.youtube.com/watch?v=Ijk4j-r7qPA,リプ
307,？？？,コサック_魔似亜,ASowdesuka09,9,https://www.youtube.com/watch?v=0DGAuxO_YWE,DM
308,Ameagarino Yozorani,フォロ↘︎mania【公式】,ashi_ga_hachi,287.0,https://www.youtube.com/watch?v=HEkWqvM6tQ8,リプ
309,【転載】新曲アナルHoldin' On移動,やんぐぽぺと,youngpopeto,215.0,https://www.youtube.com/watch?v=QCaazUtTFlY,リプ
310,尊師マーチ,ガチ恋民,_net_watcher,290.0,https://www.nicovideo.jp/watch/sm44141224,リプ
311,米津玄師 Kenshi Yonezu - KICKBACK,Phoenix kanoe@音mad作者になりたいヒカマー,kanoemaniaA,227.0,https://www.youtube.com/watch?v=M2cckDmNLMI,リプ
312,いますぐ輪廻 / 初音ミク,りつまに@Queen,Usuba_Ritsu,123.0,https://www.youtube.com/watch?v=3iUgKH8c7p4,リプ
313,GO MY WAY!! - Yayoi Takatsuki (THE IDOLM@STER),やよm@ni,takatsukiehy,284.0,https://www.youtube.com/watch?v=KLqQZU5hh1Q,リプ
314,【ヒカマニ】GPT.,にじまに_mania,nizimani_mania,102,https://www.youtube.com/watch?v=tPK24bDZrRc,リプ
315,新・改訂版　色々な警報音、通知音集めてみた！,日曜日始まった！bot,startnichiyoubi,172.0,https://www.youtube.com/watch?v=eof0K1ijp6o,リプ
316,SUPERCAR / YUMEGIWA LAST BOY (Official Music Video),ss hhu,sshhu6,254.0,https://www.youtube.com/watch?v=n_Hxf6SmiWY,リプ
317,chase,ガキ_mania(ガキマニ),gaki_mania,145.0,https://www.youtube.com/watch?v=eiHqkDoFFFU,リプ
318,Soaring! - David Shaffer (with Score),どっかの誰かさん,TETRIS_Love47,365.0,https://www.youtube.com/watch?v=tvnEKeuqt9A,DM
319,"LAUNCHED - Flowers Encounter Theme : Official Visualizer, (GIVE ME YOUR BEST OST)",ちょっぴり大豆アレルキン,I_love_vrgame,135.0,https://www.youtube.com/watch?v=k5Y6IvcD_B4,リプ
320,【7人のX】X Japan - オルガスム（Japanese ver Remix） 歌詞付き,下馬,3kKGF1EZnm519,195.0,https://www.youtube.com/watch?v=a2gz9LW5O64,リプ
321,恋のマニアヒ,ゲロ_mania,gero_mania,117.0,https://www.youtube.com/watch?v=QHF4vZ8GL7Y,リプ
322,坂本真綾 「逆光」 Music Video (Full Ver.),冷showspeed,kgnsoey5wdo2twt,315.0,https://www.youtube.com/watch?v=DHhNXNDrNbU,リプ
323,ちんちんかいちゃダメ,かまりょうた,aiibbbibsjb,77.0,https://www.youtube.com/watch?v=4CSilsJYimw,リプ
324,Vanishing (Twice Updated) Song In The Basement Show v2.0 FNF Mod,あさると,6XFjSjOREKXdbJG,129.0,https://www.youtube.com/watch?v=JxdXY97-Z5g,リプ
325,FEX - Subways of your Mind (original cassette DEMO version),もっぱー,gf4_ix,251.0,https://www.youtube.com/watch?v=KgKKcz5sjSY,DM
326,特殊交易部はやめられない,くらねす🪼,Sea_Tsuki_9rage,191.0,https://www.youtube.com/watch?v=7FwC_TXmKpM,リプ
327,My Telepathy! Watashi No Atsui Kosen,ペルソナマニア,persona_mani,223.0,https://www.youtube.com/watch?v=TfernVBF5cE,リプ
328,02.mp4（GIGA）,匿名,DM,255.1,https://127.gigafile.nu/0813-db6106c79a11a81086191507c259fcef3,DM
329,革命前夜,たどじんフリーダム,mikakunin_good,226.0,https://www.youtube.com/watch?v=i4qaHxGc4SA,リプ
330,ぼくらの (Bokurano) - Eve Music Video,ドンモモ_mania,Donmomo_mania,223.0,https://www.youtube.com/watch?v=exOi_zsOHwM,リプ
331,snooze / wotaku feat. SHIKI,りどあ,lidoa_00,177.0,https://www.youtube.com/watch?v=_gWn38pnmqI,リプ
332,ふぁんぶる！/ 重音テトSV,佐倉芽瑠,reisentyansuki,166.0,https://www.nicovideo.jp/watch/sm43841079,リプ
333,【發さんまとめ削除動画】†俺らは被爆者　げんぱつレイディオ†【ヒカキンmad】【2026/01/22】,ヒカマに,Jicama_mania,189.0,https://www.youtube.com/watch?v=qZ4EESSsW3A,リプ
334,トップシークレットマン「日々、日々、思い出すとキミしか頭にない状態」,大和キンTV_mania,Notfather_,147.0,https://www.youtube.com/watch?v=ZCfXHwlc960,リプ
335,【MV】『NKTIDKSG DISCO FEVER』.AI,AOK_mania,AOKMANIA114514,280.0,https://www.youtube.com/watch?v=M2W1L3qGgYo,リプ
336,キタナクション - 下北沢26時,パスマニ,past_mania421,132.0,https://www.youtube.com/watch?v=hjeoq6Mp4Cc,リプ
337,ヒカキンばっかり,たくみなかう_mania,fgfa23,109.0,https://www.youtube.com/watch?v=JcQwjdo0bDU,リプ
338,学会歌「威風堂々の歌」,匿名,DM,117.0,https://www.youtube.com/watch?v=-Tyy3zTbVWc,DM
339,槇原敬之「僕が一番欲しかったもの」　歌詞付き,桃_mania,UiUA9d82IN42480,418,https://www.youtube.com/watch?v=gWsUEQV7iME,DM
340,アイデン貞貞メルトダウン,ちんぺたTV,tyuson_mania,244.0,https://www.youtube.com/watch?v=SID2OofwYyM,リプ
341,秘密のトワレ,匿名,xsexsexxxxsexxx,284.0,https://www.youtube.com/watch?v=CDxU-1J2US8,DM
342,【最高音質】ジャスコで逢いましょう / ジャスコ イメージソング - 歌唱者不明,エレン・ジョー_mania,Elen_Joe_mania,182.0,https://www.youtube.com/watch?v=Oj-uRObAcPo,DM
343,ミ、ュージック,匿名,DM,61.0,https://www.youtube.com/watch?v=GChTAOKLDZM,DM
344,Don Miguelo - Y Que Fue?,グーの顔_mania,Guunokao_mania,164.0,https://www.youtube.com/watch?v=16nZ6K7sim4,リプ
345,ヒカマーズアルカイダの曲 ピアノアレンジ,エッチキン,dnhuly,160,https://www.youtube.com/watch?v=NVfoP0DRztg,リプ
346,[OST] 1.5주년 재롱잔치 : (04) Warak - 끝까지 걸어가고 싶어 ft. 앤씨아,Rマー@もちしこは人類普遍のコンテンツ,hikamers_holy,182.0,https://www.youtube.com/watch?v=-C9T61xr38w,リプ
347,【ダウン症】２４時間テレビ　パーフェクトヒューマン,忠誠子星,wEfRr9A0K694818,228.0,https://www.youtube.com/watch?v=oMZuHXd7xEA,リプ
348,Mirror feat. JJJ,【転生】アメリカ_mania(社路),Amer1ca_mania,184.0,https://www.youtube.com/watch?v=KU2gbMgRQbI,リプ
349,岸田教団&THE明星ロケッツ_天鏡のアルデラミン_MUSIC VIDEO,ヒカマニ文化振興局,MakeHikamaniGre,215.0,https://www.youtube.com/watch?v=Aumyo47GuWQ,リプ
350,【Official Music Video】Morfonica「Resonant Strings」,✂︎ - - - チョキチョキ_mαniα - - -,hikakin_monica,244.0,https://www.youtube.com/watch?v=L8XFRxh0TeA,リプ
351,タルタルこうざん,ひつマニ,hitsumabushi_98,126.0,https://www.youtube.com/watch?v=Z4jRf4PPXJY,リプ
352,SOPHIA / cod-E～Eの暗号～,くらねす🪼,Sea_Tsuki_9rage,265.0,https://www.youtube.com/watch?v=xZiJwasME2o,リプ
353,MONTAGEM HIKARI歌ってみた　 #歌ってみた　#歌い手　#新参歌い手,ミスター・ポテトヘッド好きbot,moyoxtuPT2,63.0,https://www.youtube.com/watch?v=A9YqHaNSMrE,リプ
354,最終鬼畜地震速報なまずさま・Ｋ,ゴトマニ,eidan03,230.0,https://www.youtube.com/watch?v=4Kvyp7bXWRA,リプ
355,Tyler The Creator - Yonkers,政界の壊し屋キンTV@凍結,ozawakinikisugi,185.0,https://www.youtube.com/watch?v=XSbZidsgMfw,リプ
356,esoragoto『ツキカゲ』Music Video,クレイリア,Heavenlyweeds,222.0,https://www.youtube.com/watch?v=sF4yuzEnJeM,リプ
357,ヒカキンダンス／かいはつマニア,十字架_mania,maebahesioru2,107.0,https://www.youtube.com/watch?v=agC9rzxFPHQ,リプ
358,Lil Tecca - Ransom (Official Music Video),ゆきお_mania,yukio_mania,148.0,https://www.youtube.com/watch?v=1XzY2ij_vL4,リプ
359,The Prodigy - Invaders Must Die (Official Video),L7,M_O_M_E_N_T_U_M,203.0,https://www.youtube.com/watch?v=EiqFcc_l_Kk,リプ
360,ワンダーランド,レバ刺し_mania,rawliver_mania,243.0,https://www.youtube.com/watch?v=2UkEzDvHiUU,リプ
